,GenNorm,LogNorm,T
A,0.8724508800328994,0.6187191987315035,0.9445422503560131
AA,0.7159727672887842,0.6417054410642467,0.5799641351454123
AACG,0.9778659190024092,0.023766948338917238,0.8724862072008798
AACI,0.0016855812357868816,5.192770662104615e-07,0.0004144382694777924
AACT,3.023761564753871e-07,0.0002060918078075871,0.0005078613987528475
AADI,0.04563722157492722,0.0252281708652502,0.39368624776118155
AAGR,0.005759729644928768,0.00014712008996897776,0.10819180544992546
AAL,0.9528205459622768,0.43364314813664084,0.990592820345794
AAMC,0.9290887584658558,0.3376789406253201,0.7569242451285747
AAME,1.3136287493632538e-10,5.40347865873791e-08,3.9180688111244344e-07
AAN,0.80594444227651,0.7435966088370629,0.959827538323208
AAOI,0.42991377902374517,0.12335749404493801,0.5389424333821133
AAON,1.0360174823987934e-05,0.0010511285844324592,0.0009330110204781583
AAP,0.8280198477839704,0.08828229029917556,0.8629006466316363
AAPL,0.3119986487337064,0.7389838940654384,0.41216910653123084
AAT,0.9959569547317395,0.4447974304942066,0.8931227710009549
AB,3.0516330655108482e-06,0.0025175945905335784,0.0031614352948364788
ABAT,2.998979645836932e-11,1.0679669609689723e-09,3.482788595769875e-11
ABBV,0.9984770237829418,0.9942654300524433,0.9949480906085685
ABCB,0.0001405024862589471,0.00021920150531839648,0.0001411057854509294
ABCL,0.8965109306197341,0.9241779313198906,0.9586566998757564
ABEO,1.4076262385779045e-05,0.005697255327230977,0.005186641368853606
ABEV,4.360664914332869e-17,1.4115206038421307e-15,5.087625185556445e-19
ABG,0.9397941811909892,0.5026791732665015,0.9658417008594359
ABIO,0.5154918247783927,0.3063325291963309,0.4831784533708836
ABL,0.3020551728910793,0.08095263449774781,0.4712898842271718
ABLV,0.9810008543282105,0.16737663317690854,0.9951337293382446
ABM,1.1751856295902515e-05,0.026028513073099502,0.024180467280928708
ABNB,0.806686752420664,0.8991898798909409,0.685251043535527
ABOS,0.9001299911977781,0.7550481890408092,0.8564382090786131
